GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-58;B3-TR-01;0,27%;23,79;14;2,2;16,2;16,2;26.079,54 €;ABIERTO;B3-TR-01;0,11%;9,56;5,62;5,62;9.047,35 €
B2-PL-59;B3-TR-02;0,27%;23,73;13,96;2,19;16,15;16,15;25.999,05 €;ABIERTO;B3-TR-02;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-60;B3-TR-03;0,34%;30,34;17,85;2,81;20,66;20,66;33.259,46 €;ABIERTO;B3-TR-03;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-61;B3-TR-04;0,34%;30,34;17,85;2,81;20,66;20,66;33.259,46 €;ABIERTO;B3-TR-04;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-62;B3-TR-05;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-05;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-63;B3-TR-06;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-06;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-64;B3-TR-07;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-07;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-65;B3-TR-08;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-08;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-66;B3-TR-09;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-09;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-67;B3-TR-10;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-10;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-68;B3-TR-11;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-11;0,15%;13,15;7,74;7,74;12.460,22 €
B2-PL-69;B3-TR-12;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-12;0,13%;11,88;6,99;6,99;11.252,84 €
B2-PL-70;B3-TR-13;0,29%;25,35;14,92;2,34;17,26;17,26;27.785,98 €;ABIERTO;B3-TR-13;0,20%;17,65;10,39;8;12.878,78 €
B2-PL-71;B3-TR-14;0,27%;23,73;13,96;2,19;16,15;16,15;25.999,05 €;ABIERTO;B3-TR-14;0,19%;16,87;9,93;8;12.878,78 €
B2-PL-72;B3-TR-15;0,27%;23,81;14,01;2,2;16,21;16,21;26.095,64 €;ABIERTO;B3-TR-15;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-73;B3-TR-16;0,28%;25,29;14,88;2,34;17,22;17,22;27.721,58 €;ABIERTO;B3-TR-16;0,13%;11,85;6,97;6,97;11.220,64 €
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
