GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-46;B2-TR-46;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-46;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-47;B2-TR-47;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-47;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-48;B2-TR-48;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-48;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-49;B2-TR-49;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-49;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-50;B2-TR-50;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-50;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-51;B2-TR-51;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-51;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-52;B2-TR-52;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-52;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-53;B2-TR-53;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-53;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-54;B2-TR-54;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-54;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-55;B2-TR-55;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-55;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-56;B2-TR-56;0,4363%;38,75;22,80;3,58;26,38;25,00;40.246,20 €;ABIERTO;B2-TR-56;0,2327%;20,67;12,16;8,00;12.878,78 €
B2-PL-57;B2-TR-57;0,2848%;25,29;14,88;2,34;17,22;17,22;27.721,58 €;ABIERTO;B2-TR-57;0,1688%;14,99;8,82;8,00;12.878,78 €
B2-PL-58;B3-TR-01;0,2679%;23,79;14,00;2,20;16,20;16,20;26.079,54 €;ABIERTO;B3-TR-01;0,1076%;9,56;5,62;5,62;9.047,35 €
B2-PL-59;B3-TR-02;0,2672%;23,73;13,96;2,19;16,15;16,15;25.999,05 €;ABIERTO;B3-TR-02;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-60;B3-TR-03;0,3416%;30,34;17,85;2,81;20,66;20,66;33.259,46 €;ABIERTO;B3-TR-03;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-61;B3-TR-04;0,3416%;30,34;17,85;2,81;20,66;20,66;33.259,46 €;ABIERTO;B3-TR-04;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-62;B3-TR-05;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-05;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-63;B3-TR-06;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-06;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-64;B3-TR-07;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-07;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-65;B3-TR-08;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-08;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-66;B3-TR-09;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-09;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-67;B3-TR-10;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-10;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-68;B3-TR-11;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-11;0,1481%;13,15;7,74;7,74;12.460,22 €
B2-PL-69;B3-TR-12;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B3-TR-12;0,1338%;11,88;6,99;6,99;11.252,84 €
B2-PL-70;B3-TR-13;0,2855%;25,35;14,92;2,34;17,26;17,26;27.785,98 €;ABIERTO;B3-TR-13;0,1988%;17,65;10,39;8,00;12.878,78 €
B2-PL-71;B3-TR-14;0,2672%;23,73;13,96;2,19;16,15;16,15;25.999,05 €;ABIERTO;B3-TR-14;0,1900%;16,87;9,93;8,00;12.878,78 €
